first_name,last_name,dob,points_2019,points_2020,points_2021,club,position,price
ansgar,knauff,10/01/2002,nan,8.0,38.0,eintracht frankfurt,midfield,1.8
eduardo,dos santos haesler,10/02/1999,nan,nan,nan,werder bremen,goal,0.5
anthony,losilla,10/03/1986,nan,nan,174.0,vfl bochum,midfield,2.4
alassane,plea,10/03/1993,132.0,48.0,153.0,bor. mönchengladbach,attack,3.8
sadio,mané,10/04/1992,nan,nan,nan,bayern münchen,attack,8.0
paul,grave,10/04/2001,nan,nan,nan,vfl bochum,goal,0.5
ayman,azhil,10/04/2001,nan,nan,nan,bayer 04 leverkusen,midfield,0.5
ellyes,skhiri,10/05/1995,49.0,68.0,130.0,1. fc köln,midfield,2.6
dennis,geiger,10/06/1998,27.0,20.0,93.0,tsg hoffenheim,midfield,1.8
jeffrey,gouweleeuw,10/07/1991,36.0,55.0,86.0,fc augsburg,defense,1.6
lucas,höler,10/07/1994,76.0,41.0,181.0,sc freiburg,attack,2.8
jae-sung,lee,10/08/1992,nan,nan,110.0,1. fsv mainz 05,midfield,2.0
takuma,asano,10/11/1994,nan,nan,70.0,vfl bochum,midfield,1.4
derry,scherhant,10/11/2002,nan,nan,nan,hertha bsc,attack,0.5
jeremie,frimpong,10/12/2000,nan,4.0,137.0,bayer 04 leverkusen,defense,2.5
leroy,sané,11/01/1996,nan,82.0,163.0,bayern münchen,midfield,5.5
diadie,samassekou,11/01/1996,14.0,84.0,89.0,tsg hoffenheim,midfield,2.0
jonathan,tah,11/02/1996,55.0,81.0,201.0,bayer 04 leverkusen,defense,3.2
filip,uremovic,11/02/1997,nan,nan,nan,hertha bsc,defense,1.6
felix,götze,11/02/1998,nan,nan,nan,fc augsburg,midfield,0.8
marius,lode,11/03/1993,nan,nan,nan,fc schalke 04,defense,1.2
deyovaisio,zeefuik,11/03/1998,nan,14.0,nan,hertha bsc,defense,1.0
suat,serdar,11/04/1997,92.0,-18.0,79.0,hertha bsc,midfield,1.8
philipp,lienhart,11/07/1996,57.0,103.0,203.0,sc freiburg,defense,3.2
jonathan,burkardt,11/07/2000,16.0,48.0,200.0,1. fsv mainz 05,attack,3.2
darko,churlinov,11/07/2000,nan,13.0,nan,vfb stuttgart,midfield,1.5
sebastian,rode,11/10/1990,83.0,69.0,71.0,eintracht frankfurt,midfield,2.0
konstantinos,mavropanos,11/12/1997,nan,8.0,144.0,vfb stuttgart,defense,2.3
josha,vagnoman,11/12/2000,nan,nan,nan,vfb stuttgart,defense,1.6
patrick,herrmann,12/02/1991,116.0,25.0,57.0,bor. mönchengladbach,attack,1.8
manuel,gulde,12/02/1991,37.0,74.0,80.0,sc freiburg,defense,1.8
julian,chabot,12/02/1998,nan,nan,2.0,1. fc köln,defense,1.2
marton,dardai,12/02/2002,nan,38.0,7.0,hertha bsc,defense,1.2
timo,horn,12/05/1993,127.0,174.0,87.0,1. fc köln,goal,1.0
hiroki,ito,12/05/1999,nan,nan,92.0,vfb stuttgart,defense,1.6
kingsley,schindler,12/07/1993,-4.0,nan,43.0,1. fc köln,midfield,1.2
michael,zetterer,12/07/1995,nan,nan,nan,werder bremen,goal,0.8
matthijs,de ligt,12/08/1999,nan,nan,nan,bayern münchen,defense,4.2
rodrigo,zalazar,12/08/1999,nan,nan,nan,fc schalke 04,midfield,1.8
thomas,meunier,12/09/1991,nan,18.0,92.0,borussia dortmund,defense,2.5
jakob,busk,12/09/1993,nan,nan,nan,1. fc union berlin,goal,0.5
jens,petter hauge,12/10/1999,nan,nan,52.0,eintracht frankfurt,midfield,1.7
kilian,fischer,12/10/2000,nan,nan,nan,vfl wolfsburg,defense,1.2
laurenz,dehl,12/12/2001,nan,nan,nan,1. fc union berlin,midfield,0.5
yannick,gerhardt,13/03/1994,23.0,72.0,74.0,vfl wolfsburg,midfield,1.8
daniel,klein,13/03/2001,nan,nan,nan,fc augsburg,goal,0.5
alexander,meyer,13/04/1991,nan,nan,nan,borussia dortmund,goal,0.8
andras,schäfer,13/04/1999,nan,nan,23.0,1. fc union berlin,midfield,1.4
mark,flekken,13/06/1993,62.0,18.0,237.0,sc freiburg,goal,3.4
kingsley,coman,13/06/1996,107.0,146.0,132.0,bayern münchen,midfield,6.5
danny,da costa,13/07/1993,44.0,27.0,12.0,1. fsv mainz 05,defense,1.4
andré,hahn,13/08/1990,-8.0,65.0,90.0,fc augsburg,midfield,1.6
thomas,müller,13/09/1989,197.0,224.0,250.0,bayern münchen,midfield,7.5
joel,pohjanpalo,13/09/1994,nan,42.0,nan,bayer 04 leverkusen,attack,1.4
niklas,klinger,13/10/1995,nan,nan,nan,vfl wolfsburg,goal,0.5
pavao,pervan,13/11/1987,41.0,15.0,33.0,vfl wolfsburg,goal,0.8
andrey,lunev,13/11/1991,nan,nan,6.0,bayer 04 leverkusen,goal,0.8
florian,müller,13/11/1997,65.0,149.0,165.0,vfb stuttgart,goal,2.4
marvin,friedrich,13/12/1995,85.0,171.0,75.0,bor. mönchengladbach,defense,2.5
nicolai,rapp,13/12/1996,nan,nan,nan,werder bremen,midfield,1.3
eren,dinkci,13/12/2001,nan,0.0,nan,werder bremen,attack,0.8
bartol,franjic,14/01/2000,nan,nan,nan,vfl wolfsburg,midfield,1.7
lucas,hernandez,14/02/1996,20.0,66.0,110.0,bayern münchen,defense,3.0
myziane,maolida,14/02/1999,nan,nan,4.0,hertha bsc,attack,1.3
nick,woltemade,14/02/2002,nan,6.0,nan,werder bremen,attack,0.6
henning,matriciani,14/03/2000,nan,nan,nan,fc schalke 04,defense,1.0
anthony,modeste,14/04/1988,10.0,nan,281.0,1. fc köln,attack,4.0
jiri,pavlenka,14/04/1992,124.0,144.0,nan,werder bremen,goal,2.6
niklas,stark,14/04/1995,12.0,80.0,88.0,werder bremen,defense,2.0
munas,dabbur,14/05/1992,49.0,37.0,88.0,tsg hoffenheim,attack,1.8
stefan,posch,14/05/1997,60.0,30.0,110.0,tsg hoffenheim,defense,1.8
kristijan,jakic,14/05/1997,nan,nan,82.0,eintracht frankfurt,midfield,1.7
mehdi,loune,14/05/2004,nan,nan,nan,eintracht frankfurt,midfield,0.5
jonas,hofmann,14/07/1992,85.0,119.0,184.0,bor. mönchengladbach,midfield,4.0
serge,gnabry,14/07/1995,145.0,126.0,210.0,bayern münchen,midfield,6.0
robert,wagner,14/07/2003,nan,nan,nan,sc freiburg,midfield,0.5
soumaila,coulibaly,14/10/2003,nan,nan,nan,borussia dortmund,defense,0.7
christopher,nkunku,14/11/1997,132.0,135.0,337.0,rb leipzig,attack,8.5
noussair,mazraoui,14/11/1997,nan,nan,nan,bayern münchen,defense,2.8
lukas,nmecha,14/12/1998,nan,nan,97.0,vfl wolfsburg,attack,2.5
daniel,caligiuri,15/01/1988,41.0,58.0,80.0,fc augsburg,midfield,1.6
marcin,kaminski,15/01/1992,nan,-3.0,nan,fc schalke 04,defense,1.6
niklas,dorsch,15/01/1998,nan,nan,109.0,fc augsburg,midfield,1.8
yannik,keitel,15/02/2000,7.0,16.0,34.0,sc freiburg,midfield,1.2
ibrahima,cissé,15/02/2001,nan,nan,nan,fc schalke 04,defense,0.6
levin,öztunali,15/03/1996,55.0,36.0,26.0,1. fc union berlin,midfield,1.3
jonjoe,kenny,15/03/1997,46.0,nan,nan,hertha bsc,defense,1.5
clinton,mola,15/03/2001,nan,nan,0.0,vfb stuttgart,defense,0.7
tjark,ernst,15/03/2003,nan,nan,nan,hertha bsc,goal,0.6
edimilson,fernandes,15/04/1996,-15.0,18.0,nan,1. fsv mainz 05,midfield,1.0
luca,netz,15/05/2003,nan,6.0,68.0,bor. mönchengladbach,defense,1.6
sven,michel,15/07/1990,37.0,nan,46.0,1. fc union berlin,attack,1.8
sebastian,andersson,15/07/1991,94.0,16.0,56.0,1. fc köln,attack,1.5
nan,nan,15/07/2000,nan,nan,nan,bayer 04 leverkusen,attack,2.2
dominique,heintz,15/08/1993,72.0,31.0,26.0,1. fc union berlin,defense,1.5
rafael,santos borré,15/09/1995,nan,nan,107.0,eintracht frankfurt,attack,2.4
anton,stach,15/11/1998,nan,nan,142.0,1. fsv mainz 05,midfield,2.5
florian,neuhaus,16/03/1997,114.0,118.0,104.0,bor. mönchengladbach,midfield,2.6
marco,friedl,16/03/1998,9.0,34.0,nan,werder bremen,defense,2.0
lukas,ullrich,16/03/2004,nan,nan,nan,hertha bsc,defense,0.5
ramy,bensebaini,16/04/1995,106.0,53.0,69.0,bor. mönchengladbach,defense,2.3
hannes,wolf,16/04/1999,5.0,17.0,nan,bor. mönchengladbach,midfield,1.5
mio,backhaus,16/04/2004,nan,nan,nan,werder bremen,goal,0.5
ryan,gravenberch,16/05/2002,nan,nan,nan,bayern münchen,midfield,3.5
kiliann,sildillia,16/05/2002,nan,nan,16.0,sc freiburg,defense,0.7
ritsu,doan,16/06/1998,nan,86.0,nan,sc freiburg,midfield,2.2
tiago,tomas,16/06/2002,nan,nan,64.0,vfb stuttgart,attack,2.6
mats,hummels,16/12/1988,154.0,139.0,115.0,borussia dortmund,defense,3.4
amos,pieper,17/01/1998,nan,71.0,96.0,werder bremen,defense,1.8
cedric,brunner,17/02/1994,nan,38.0,117.0,fc schalke 04,defense,1.7
niklas,tauer,17/02/2001,nan,5.0,20.0,1. fsv mainz 05,defense,1.0
karim,onisiwo,17/03/1992,53.0,63.0,162.0,1. fsv mainz 05,attack,2.6
marcel,sabitzer,17/03/1994,182.0,154.0,43.0,bayern münchen,midfield,3.2
nahuel,noll,17/03/2003,nan,nan,nan,tsg hoffenheim,goal,0.5
charles,aranguiz,17/04/1989,84.0,17.0,126.0,bayer 04 leverkusen,midfield,2.5
enzo,millot,17/07/2002,nan,nan,13.0,vfb stuttgart,midfield,0.6
hrvoje,smolcic,17/08/2000,nan,nan,nan,eintracht frankfurt,defense,1.5
maurice,malone,17/08/2000,nan,nan,nan,fc augsburg,attack,0.7
benno,schmitz,17/11/1994,-5.0,9.0,156.0,1. fc köln,defense,2.3
julian,ryerson,17/11/1997,12.0,37.0,94.0,1. fc union berlin,defense,1.8
yann,sommer,17/12/1988,175.0,133.0,257.0,bor. mönchengladbach,goal,4.0
makoto,hasebe,18/01/1984,26.0,75.0,60.0,eintracht frankfurt,defense,1.7
merveille,papela,18/01/2001,nan,1.0,8.0,1. fsv mainz 05,midfield,0.5
karim,adeyemi,18/01/2002,nan,nan,nan,borussia dortmund,attack,4.2
tanguy,coulibaly,18/02/2001,nan,29.0,35.0,vfb stuttgart,midfield,1.2
maximilian,mittelstädt,18/03/1997,30.0,-5.0,47.0,hertha bsc,defense,1.2
orel,mangala,18/03/1998,nan,64.0,90.0,vfb stuttgart,midfield,1.8
adrian,fein,18/03/1999,nan,nan,nan,bayern münchen,midfield,0.8
michael,gregoritsch,18/04/1994,-32.0,19.0,112.0,sc freiburg,attack,2.2
ali,akman,18/04/2002,nan,nan,nan,eintracht frankfurt,attack,0.7
maxim,leitsch,18/05/1998,nan,nan,85.0,1. fsv mainz 05,defense,1.8
amine,harit,18/06/1997,88.0,-28.0,nan,fc schalke 04,midfield,2.0
faride,alidou,18/07/2001,nan,nan,nan,eintracht frankfurt,attack,1.4
jan,olschowsky,18/11/2001,nan,nan,nan,bor. mönchengladbach,goal,0.5
justin,che,18/11/2003,nan,nan,4.0,tsg hoffenheim,defense,1.0
matthias,ginter,19/01/1994,152.0,148.0,111.0,sc freiburg,defense,2.8
donyell,malen,19/01/1999,nan,nan,104.0,borussia dortmund,attack,3.5
ilaix,moriba,19/01/2003,nan,nan,nan,rb leipzig,midfield,1.5
christoph,kramer,19/02/1991,67.0,58.0,30.0,bor. mönchengladbach,midfield,1.7
max,kruse,19/03/1988,nan,102.0,195.0,vfl wolfsburg,attack,3.4
kevin,mbabu,19/04/1995,57.0,60.0,41.0,vfl wolfsburg,defense,1.7
kevin,akpoguma,19/04/1995,2.0,25.0,90.0,tsg hoffenheim,defense,1.6
carlos,gruezo,19/04/1995,12.0,-7.0,24.0,fc augsburg,midfield,1.0
micky,van de ven,19/04/2001,nan,nan,21.0,vfl wolfsburg,defense,1.2
luca,waldschmidt,19/05/1996,54.0,nan,11.0,vfl wolfsburg,attack,1.8
alex,kral,19/05/1998,nan,nan,nan,fc schalke 04,midfield,1.7
louis,jordan beyer,19/05/2000,nan,2.0,63.0,bor. mönchengladbach,defense,1.7
andrej,kramaric,19/06/1991,126.0,226.0,181.0,tsg hoffenheim,attack,4.8
kimberly,ezekwem,19/06/2001,nan,nan,nan,sc freiburg,defense,0.6
mohammed,tolba,19/07/2004,nan,nan,nan,vfl bochum,defense,0.5
josuha,guilavogui,19/09/1990,45.0,48.0,nan,vfl wolfsburg,midfield,1.7
jacob,bruun larsen,19/09/1998,0.0,nan,52.0,tsg hoffenheim,attack,1.4
diant,ramaj,19/09/2001,nan,nan,2.0,eintracht frankfurt,goal,0.8
florent,mollet,19/11/1991,nan,nan,nan,fc schalke 04,midfield,2.2
leonardo,bittencourt,19/12/1993,67.0,29.0,nan,werder bremen,midfield,1.7
davie,selke,20/01/1995,-11.0,4.0,38.0,hertha bsc,attack,1.6
pascal,stenzel,20/03/1996,nan,-1.0,28.0,vfb stuttgart,defense,1.3
georginio,rutter,20/04/2002,nan,4.0,139.0,tsg hoffenheim,attack,3.0
robert,skov,20/05/1996,76.0,17.0,34.0,tsg hoffenheim,midfield,1.5
mitchel,bakker,20/06/2000,nan,nan,85.0,bayer 04 leverkusen,defense,1.8
timo,hübers,20/07/1996,nan,nan,122.0,1. fc köln,defense,2.4
waldemar,anton,20/07/1996,nan,62.0,119.0,vfb stuttgart,defense,2.0
angelo,fulgini,20/08/1996,nan,nan,nan,1. fsv mainz 05,midfield,1.8
evan,ndicka,20/08/1999,32.0,74.0,169.0,eintracht frankfurt,defense,2.6
lilian,egloff,20/08/2002,nan,2.0,8.0,vfb stuttgart,midfield,0.5
