first_name,last_name,dob,points_2019,points_2020,points_2021,club,position,price,prediction
elvis,rexhbecaj,01/11/1997,28.0,33.0,76.0,vfl wolfsburg,midfield,1.6,52.49058909215652
lukas,petkov,01/11/2000,0.0,0.0,0.0,fc augsburg,midfield,0.7,0.0
nico,schlotterbeck,01/12/1999,13.0,50.0,267.0,borussia dortmund,defense,4.5,145.91549706881
gabriel,vidovic,01/12/2003,0.0,0.0,6.0,bayern münchen,midfield,0.5,2.86451752251867
timothy,fosu-mensah,02/01/1998,0.0,11.0,8.0,bayer 04 leverkusen,defense,1.4,7.283144303107312
maxime,awoudja,02/02/1998,0.0,0.0,0.0,vfb stuttgart,defense,0.5,0.0
edmond,tapsoba,02/02/1999,57.0,107.0,97.0,bayer 04 leverkusen,defense,2.7,91.8412726035294
simon,terodde,02/03/1988,42.0,0.0,0.0,fc schalke 04,attack,2.4,8.723006481509168
fabian,bredlow,02/03/1995,0.0,13.0,22.0,vfb stuttgart,goal,0.7,14.596798087120407
mateu,morey,02/03/2000,2.0,24.0,0.0,borussia dortmund,defense,1.7,7.9727360386586135
timo,schlieck,02/03/2006,0.0,0.0,0.0,rb leipzig,goal,0.5,0.0
janik,haberer,02/04/1994,38.0,-5.0,70.0,1. fc union berlin,midfield,1.7,39.737166143504666
josip,stanisic,02/04/2000,0.0,0.0,55.0,bayern münchen,defense,1.5,26.258077289754475
marco,john,02/04/2002,0.0,18.0,8.0,tsg hoffenheim,defense,1.0,9.487372779917337
janis,blaswich,02/05/1991,0.0,0.0,0.0,rb leipzig,goal,0.7,0.0
julian,brandt,02/05/1996,94.0,16.0,189.0,borussia dortmund,midfield,3.8,114.79345774590058
blendi,idrizi,02/05/1998,0.0,0.0,0.0,fc schalke 04,midfield,1.0,0.0
mesut,kesik,02/05/2003,0.0,0.0,0.0,hertha bsc,midfield,0.5,0.0
oliver,baumann,02/06/1990,146.0,153.0,231.0,tsg hoffenheim,goal,3.2,188.78489337915784
alexander,schwolow,02/06/1992,127.0,122.0,114.0,fc schalke 04,goal,2.3,119.21909645586906
jordi,osei-tutu,02/10/1998,0.0,0.0,0.0,vfl bochum,midfield,1.5,0.0
alphonso,davies,02/11/2000,116.0,30.0,116.0,bayern münchen,defense,3.4,88.91947871347685
konstantinos,stafylidis,02/12/1993,6.0,0.0,76.0,vfl bochum,defense,1.6,37.53003240164256
leandro,barreiro,03/01/2000,21.0,48.0,97.0,1. fsv mainz 05,midfield,1.6,65.78591274340849
kevin,behrens,03/02/1991,0.0,0.0,67.0,1. fc union berlin,attack,1.6,31.987112334791814
mohamed,simakan,03/05/2000,0.0,0.0,137.0,rb leipzig,defense,3.0,65.40648343084297
mario,götze,03/06/1992,23.0,0.0,0.0,eintracht frankfurt,midfield,3.6,4.77688450177883
lukas,klostermann,03/06/1996,118.0,59.0,105.0,rb leipzig,defense,2.6,93.21504820619174
kerem,demirbay,03/07/1993,57.0,45.0,126.0,bayer 04 leverkusen,midfield,2.4,86.16327412014752
kevin,möhwald,03/07/1993,3.0,47.0,26.0,1. fc union berlin,midfield,1.4,27.835800928651246
denis,huseinbasic,03/07/2001,0.0,0.0,0.0,1. fc köln,midfield,0.7,0.0
sven,ulreich,03/08/1988,4.0,0.0,22.0,bayern münchen,goal,0.8,11.333993437950282
florian,dietz,03/08/1998,0.0,0.0,0.0,1. fc köln,attack,0.5,0.0
niklas,süle,03/09/1995,29.0,39.0,148.0,borussia dortmund,defense,3.6,88.96182868730128
henri,koudossou,03/09/1999,0.0,0.0,0.0,fc augsburg,midfield,0.5,0.0
renato,steffen,03/11/1991,82.0,73.0,29.0,vfl wolfsburg,midfield,1.7,53.86275384280553
anthony,jung,03/11/1991,0.0,0.0,0.0,werder bremen,defense,1.5,0.0
willi,orban,03/11/1992,48.0,139.0,176.0,rb leipzig,defense,3.5,137.76467734559526
marcus,ingvartsen,04/01/1996,43.0,24.0,70.0,1. fsv mainz 05,attack,1.6,49.90742298570681
0,0,04/01/1997,0.0,0.0,0.0,rb leipzig,defense,3.0,0.0
odilon,kossounou,04/01/2001,0.0,0.0,83.0,bayer 04 leverkusen,defense,1.9,39.62582572817494
frederik,winther,04/01/2001,0.0,0.0,4.0,fc augsburg,defense,0.7,1.90967834834578
philipp,förster,04/02/1995,0.0,33.0,43.0,vfl bochum,midfield,1.5,30.92040506396439
zidan,sertdemir,04/02/2005,0.0,0.0,6.0,bayer 04 leverkusen,midfield,0.7,2.86451752251867
angelo,stiller,04/04/2001,0.0,0.0,92.0,tsg hoffenheim,midfield,1.7,43.92260201195294
marcel,wenig,04/05/2004,0.0,0.0,0.0,eintracht frankfurt,midfield,0.6,0.0
robert,gumny,04/06/1998,0.0,12.0,44.0,fc augsburg,defense,1.2,24.785139220620763
benjamin,hübner,04/07/1989,75.0,0.0,40.0,tsg hoffenheim,defense,1.8,34.67358077186703
daley,sinkgraven,04/07/1995,31.0,31.0,32.0,bayer 04 leverkusen,defense,1.5,31.477419587086445
0,0,04/07/1999,0.0,0.0,0.0,eintracht frankfurt,defense,2.2,0.0
frederik,rönnow,04/08/1992,55.0,42.0,40.0,1. fc union berlin,goal,2.3,43.74513902248471
kristian,pedersen,04/08/1994,0.0,0.0,0.0,1. fc köln,defense,1.5,0.0
marvin,pieringer,04/10/1999,0.0,0.0,0.0,fc schalke 04,attack,0.8,0.0
aster,vranckx,04/10/2002,0.0,0.0,67.0,vfl wolfsburg,midfield,1.8,31.987112334791814
tim,lemperle,05/02/2002,0.0,0.0,34.0,1. fc köln,midfield,1.0,16.23226596093913
silvan,widmer,05/03/1993,0.0,0.0,164.0,1. fsv mainz 05,defense,2.5,78.29681228217697
tim,maciejewski,05/03/2001,0.0,0.0,0.0,1. fc union berlin,midfield,0.5,0.0
julian,eitschberger,05/03/2004,0.0,0.0,0.0,hertha bsc,defense,0.5,0.0
jurgen,ekkelenkamp,05/04/2000,0.0,0.0,51.0,hertha bsc,midfield,1.5,24.348398941408696
can,bozdogan,05/04/2001,0.0,-9.0,0.0,fc schalke 04,midfield,1.5,-2.834008041612888
jakub,kaminski,05/06/2002,0.0,0.0,0.0,vfl wolfsburg,midfield,2.0,0.0
fabio,chiarodia,05/06/2005,0.0,0.0,0.0,werder bremen,defense,0.5,0.0
ajdin,hrustic,05/07/1996,0.0,16.0,63.0,eintracht frankfurt,midfield,1.5,35.115670504868945
alou,kuol,05/07/2001,0.0,0.0,0.0,vfb stuttgart,attack,0.8,0.0
daichi,kamada,05/08/1996,32.0,105.0,94.0,eintracht frankfurt,midfield,2.4,84.58696851466414
exequiel,palacios,05/10/1998,7.0,17.0,87.0,bayer 04 leverkusen,midfield,2.4,48.342464790929924
ondrej,duda,05/12/1994,0.0,65.0,58.0,1. fc köln,midfield,1.5,48.15817190710689
alexander,sörloth,05/12/1995,0.0,56.0,0.0,rb leipzig,attack,2.0,17.633827814480192
randal,kolo muani,05/12/1998,0.0,0.0,0.0,eintracht frankfurt,attack,2.6,0.0
jerome,roussillon,06/01/1993,44.0,32.0,79.0,vfl wolfsburg,defense,1.6,56.93100815920839
djibril,sow,06/02/1997,18.0,56.0,144.0,eintracht frankfurt,midfield,2.6,90.12067970414648
kevin-prince,boateng,06/03/1987,0.0,0.0,17.0,hertha bsc,midfield,1.5,8.116132980469565
maxence,lacroix,06/04/2000,0.0,127.0,83.0,vfl wolfsburg,defense,2.6,79.61682809315681
peter,gulacsi,06/05/1990,166.0,166.0,231.0,rb leipzig,goal,4.2,197.03227316061893
ilia,gruev,06/05/2000,0.0,1.0,0.0,werder bremen,midfield,1.3,0.314889782401432
matteo,bignetti,06/05/2004,0.0,0.0,0.0,eintracht frankfurt,goal,0.5,0.0
anderson,lucoqui,06/07/1997,0.0,32.0,29.0,1. fsv mainz 05,defense,1.2,23.921641062352727
mateo,klimowicz,06/07/2000,0.0,13.0,23.0,vfb stuttgart,midfield,1.2,15.074217674206851
abdenego,nankishi,06/07/2002,0.0,0.0,0.0,werder bremen,midfield,0.6,0.0
marcus,thuram,06/08/1997,147.0,88.0,50.0,bor. mönchengladbach,attack,3.2,82.11180289093035
raphael,framberger,06/09/1995,14.0,-16.0,38.0,fc augsburg,defense,0.7,16.01137661803172
0,0,06/10/1998,0.0,0.0,0.0,vfb stuttgart,midfield,2.6,0.0
tim,oermann,06/10/2003,0.0,0.0,0.0,vfl bochum,defense,0.5,0.0
andré,silva,06/11/1995,91.0,265.0,124.0,rb leipzig,attack,4.6,161.54566851170188
abdoulaye,kamara,06/11/2004,0.0,0.0,0.0,borussia dortmund,midfield,0.5,0.0
nils,petersen,06/12/1988,69.0,59.0,58.0,sc freiburg,attack,1.6,60.59948671803479
gregor,kobel,06/12/1997,0.0,166.0,206.0,borussia dortmund,goal,3.5,150.62013881844538
oscar,fraulo,06/12/2003,0.0,0.0,0.0,bor. mönchengladbach,midfield,0.5,0.0
christopher,antwi-adjei,07/02/1994,2.0,0.0,62.0,vfl bochum,midfield,1.4,30.015395660383838
jonas,wind,07/02/1999,0.0,0.0,67.0,vfl wolfsburg,attack,2.3,31.987112334791814
omar,marmoush,07/02/1999,0.0,0.0,69.0,vfl wolfsburg,attack,1.6,32.941951508964706
marvin,ducksch,07/03/1994,0.0,0.0,0.0,werder bremen,attack,2.4,0.0
lee,buchanan,07/03/2001,0.0,0.0,0.0,werder bremen,defense,1.2,0.0
tony,jantschke,07/04/1990,54.0,13.0,12.0,bor. mönchengladbach,defense,1.0,21.0378962639106
vincenzo,grifo,07/04/1993,86.0,147.0,247.0,sc freiburg,midfield,4.5,182.07283024740502
oliver,burke,07/04/1997,0.0,0.0,0.0,werder bremen,attack,1.4,0.0
dani,olmo,07/05/1998,29.0,123.0,99.0,rb leipzig,midfield,4.0,92.01901064178575
kevin,paredes,07/05/2003,0.0,0.0,4.0,vfl wolfsburg,midfield,0.8,1.90967834834578
tanguy,nianzou,07/06/2002,0.0,-2.0,46.0,bayern münchen,defense,1.7,21.331521441173606
milos,pantovic,07/07/1996,0.0,0.0,67.0,1. fc union berlin,midfield,1.4,31.987112334791814
sasa,kalajdzic,07/07/1997,0.0,143.0,68.0,vfb stuttgart,attack,3.4,77.49377080528305
moussa,diaby,07/07/1999,102.0,76.0,220.0,bayer 04 leverkusen,attack,5.0,150.14837693376327
tim,skarke,07/09/1996,0.0,0.0,0.0,1. fc union berlin,midfield,1.4,0.0
delano,burgzorg,07/11/1998,0.0,0.0,9.0,1. fsv mainz 05,attack,1.0,4.296776283778005
danny,latza,07/12/1989,24.0,18.0,0.0,fc schalke 04,midfield,1.6,10.652591215516729
arne,maier,08/01/1999,-1.0,-5.0,83.0,fc augsburg,midfield,1.6,37.843686185655656
christian,groß,08/02/1989,18.0,4.0,0.0,werder bremen,midfield,1.6,4.997990478823943
joshua,kimmich,08/02/1995,191.0,151.0,189.0,bayern münchen,midfield,6.5,177.44956952976986
luca,wollschläger,08/02/2003,0.0,0.0,0.0,hertha bsc,attack,0.5,0.0
benjamin,leneis,08/03/1999,0.0,0.0,0.0,fc augsburg,goal,0.5,0.0
karim,bellarabi,08/04/1990,77.0,19.0,73.0,bayer 04 leverkusen,attack,2.0,56.82671427237117
ridle,baku,08/04/1998,36.0,137.0,119.0,vfl wolfsburg,midfield,2.4,107.42969375071957
finn,ole becker,08/06/2000,0.0,0.0,0.0,tsg hoffenheim,midfield,1.2,0.0
dikeni,salifou,08/06/2003,0.0,0.0,0.0,werder bremen,midfield,0.5,0.0
kevin,trapp,08/07/1990,93.0,142.0,245.0,eintracht frankfurt,goal,3.8,180.99737657480983
ivan,ordets,08/07/1992,0.0,0.0,0.0,vfl bochum,defense,1.6,0.0
vladimir,darida,08/08/1990,68.0,44.0,50.0,hertha bsc,midfield,1.6,51.849092654809624
benjamin,uphoff,08/08/1993,0.0,0.0,0.0,sc freiburg,goal,0.7,0.0
malick,thiaw,08/08/2001,0.0,-18.0,0.0,fc schalke 04,defense,1.8,-5.668016083225776
fisnik,asllani,08/08/2002,0.0,0.0,4.0,tsg hoffenheim,attack,0.5,1.90967834834578
jonas,urbig,08/08/2003,0.0,0.0,0.0,1. fc köln,goal,0.5,0.0
jamie,bynoe-gittens,08/08/2004,0.0,0.0,0.0,borussia dortmund,attack,1.7,0.0
alexander,hack,08/09/1993,11.0,36.0,134.0,1. fsv mainz 05,defense,2.2,77.59485377166854
lucas,alario,08/10/1992,66.0,78.0,84.0,eintracht frankfurt,attack,3.6,78.3722299563732
dejan,ljubicic,08/10/1997,0.0,0.0,157.0,1. fc köln,midfield,2.6,74.95487517257186
jens,stage,08/11/1996,0.0,0.0,0.0,werder bremen,midfield,1.8,0.0
maximilian,eggestein,08/12/1996,31.0,35.0,122.0,sc freiburg,midfield,2.2,75.70474155447224
andreas,voglsammer,09/01/1992,0.0,26.0,65.0,1. fc union berlin,attack,1.5,39.21940750305616
grischa,prömel,09/01/1995,7.0,67.0,163.0,tsg hoffenheim,midfield,2.8,100.37084252957133
chris,führich,09/01/1998,0.0,0.0,88.0,vfb stuttgart,midfield,1.7,42.01292366360716
piero,hincapie,09/01/2002,0.0,0.0,114.0,bayer 04 leverkusen,defense,2.2,54.42583292785473
ricardo,pepi,09/01/2003,0.0,0.0,-4.0,fc augsburg,attack,1.3,-1.90967834834578
thomas,kastanaras,09/01/2003,0.0,0.0,0.0,vfb stuttgart,attack,0.7,0.0
wataru,endo,09/02/1993,0.0,139.0,153.0,vfb stuttgart,midfield,2.8,116.81487657802512
niclas,füllkrug,09/02/1993,42.0,33.0,0.0,werder bremen,attack,2.2,19.114369300756422
sheraldo,becker,09/02/1995,-2.0,53.0,131.0,1. fc union berlin,attack,2.4,78.81574311457594
maximilian,bauer,09/02/2000,0.0,0.0,36.0,fc augsburg,defense,1.3,17.18710513511202
mehmet,aydin,09/02/2002,0.0,0.0,0.0,fc schalke 04,midfield,0.8,0.0
nicolas,höfler,09/03/1990,50.0,57.0,186.0,sc freiburg,midfield,3.0,117.13329232056654
genki,haraguchi,09/05/1991,0.0,0.0,80.0,1. fc union berlin,midfield,1.5,38.1935669669156
hugo,siquet,09/07/2002,0.0,0.0,2.0,sc freiburg,defense,1.0,0.95483917417289
manuel,riemann,09/09/1988,0.0,0.0,255.0,vfl bochum,goal,3.6,121.74199470704347
felix,uduokhai,09/09/1997,38.0,70.0,18.0,fc augsburg,defense,1.6,38.52808129511693
fredrik,jensen,09/09/1997,12.0,10.0,15.0,fc augsburg,midfield,1.0,12.80247919645647
kevin,kampl,09/10/1990,57.0,82.0,101.0,rb leipzig,midfield,2.4,85.87870639183939
ivan,sunjic,09/10/1996,0.0,0.0,0.0,hertha bsc,midfield,1.6,0.0
tarsis,bonga,10/01/1997,0.0,0.0,6.0,vfl bochum,attack,0.6,2.86451752251867
ansgar,knauff,10/01/2002,0.0,8.0,38.0,eintracht frankfurt,midfield,1.8,20.661062568496366
eduardo,dos santos haesler,10/02/1999,0.0,0.0,0.0,werder bremen,goal,0.5,0.0
anthony,losilla,10/03/1986,0.0,0.0,174.0,vfl bochum,midfield,2.4,83.07100815304143
alassane,plea,10/03/1993,132.0,48.0,153.0,bor. mönchengladbach,attack,3.8,115.57506960709506
sadio,mané,10/04/1992,0.0,0.0,0.0,bayern münchen,attack,8.0,0.0
paul,grave,10/04/2001,0.0,0.0,0.0,vfl bochum,goal,0.5,0.0
ayman,azhil,10/04/2001,0.0,0.0,0.0,bayer 04 leverkusen,midfield,0.5,0.0
ellyes,skhiri,10/05/1995,49.0,68.0,130.0,1. fc köln,midfield,2.6,93.65389241962924
dennis,geiger,10/06/1998,27.0,20.0,93.0,tsg hoffenheim,midfield,1.8,56.30546427089534
jeffrey,gouweleeuw,10/07/1991,36.0,55.0,86.0,fc augsburg,defense,1.6,65.85388521994946
lucas,höler,10/07/1994,76.0,41.0,181.0,sc freiburg,attack,2.8,115.1079142600266
jae-sung,lee,10/08/1992,0.0,0.0,110.0,1. fsv mainz 05,midfield,2.0,52.51615457950895
takuma,asano,10/11/1994,0.0,0.0,70.0,vfl bochum,midfield,1.4,33.41937109605115
derry,scherhant,10/11/2002,0.0,0.0,0.0,hertha bsc,attack,0.5,0.0
jeremie,frimpong,10/12/2000,0.0,4.0,137.0,bayer 04 leverkusen,defense,2.5,66.6660425604487
leroy,sané,11/01/1996,0.0,82.0,163.0,bayern münchen,midfield,5.5,103.64035485200796
diadie,samassekou,11/01/1996,14.0,84.0,89.0,tsg hoffenheim,midfield,2.0,71.84875379958362
jonathan,tah,11/02/1996,55.0,81.0,201.0,bayer 04 leverkusen,defense,3.2,132.8903940570582
filip,uremovic,11/02/1997,0.0,0.0,0.0,hertha bsc,defense,1.6,0.0
felix,götze,11/02/1998,0.0,0.0,0.0,fc augsburg,midfield,0.8,0.0
marius,lode,11/03/1993,0.0,0.0,0.0,fc schalke 04,defense,1.2,0.0
deyovaisio,zeefuik,11/03/1998,0.0,14.0,0.0,hertha bsc,defense,1.0,4.408456953620048
suat,serdar,11/04/1997,92.0,-18.0,79.0,hertha bsc,midfield,1.8,51.155669303718696
philipp,lienhart,11/07/1996,57.0,103.0,203.0,sc freiburg,defense,3.2,141.18818970508684
jonathan,burkardt,11/07/2000,16.0,48.0,200.0,1. fsv mainz 05,attack,3.2,113.9216770607517
darko,churlinov,11/07/2000,0.0,13.0,0.0,vfb stuttgart,midfield,1.5,4.093567171218616
sebastian,rode,11/10/1990,83.0,69.0,71.0,eintracht frankfurt,midfield,2.0,72.86250800134262
konstantinos,mavropanos,11/12/1997,0.0,8.0,144.0,vfb stuttgart,defense,2.3,71.26753879965953
josha,vagnoman,11/12/2000,0.0,0.0,0.0,vfb stuttgart,defense,1.6,0.0
patrick,herrmann,12/02/1991,116.0,25.0,57.0,bor. mönchengladbach,attack,1.8,59.17727416336943
manuel,gulde,12/02/1991,37.0,74.0,80.0,sc freiburg,defense,1.8,69.17996419357011
julian,chabot,12/02/1998,0.0,0.0,2.0,1. fc köln,defense,1.2,0.95483917417289
marton,dardai,12/02/2002,0.0,38.0,7.0,hertha bsc,defense,1.2,15.307748840859531
timo,horn,12/05/1993,127.0,174.0,87.0,1. fc köln,goal,1.0,122.70303628940951
hiroki,ito,12/05/1999,0.0,0.0,92.0,vfb stuttgart,defense,1.6,43.92260201195294
kingsley,schindler,12/07/1993,-4.0,0.0,43.0,1. fc köln,midfield,1.2,19.698279722668644
michael,zetterer,12/07/1995,0.0,0.0,0.0,werder bremen,goal,0.8,0.0
matthijs,de ligt,12/08/1999,0.0,0.0,0.0,bayern münchen,defense,4.2,0.0
rodrigo,zalazar,12/08/1999,0.0,0.0,0.0,fc schalke 04,midfield,1.8,0.0
thomas,meunier,12/09/1991,0.0,18.0,92.0,borussia dortmund,defense,2.5,49.59061809517871
jakob,busk,12/09/1993,0.0,0.0,0.0,1. fc union berlin,goal,0.5,0.0
jens,petter hauge,12/10/1999,0.0,0.0,52.0,eintracht frankfurt,midfield,1.7,24.82581852849514
kilian,fischer,12/10/2000,0.0,0.0,0.0,vfl wolfsburg,defense,1.2,0.0
laurenz,dehl,12/12/2001,0.0,0.0,0.0,1. fc union berlin,midfield,0.5,0.0
yannick,gerhardt,13/03/1994,23.0,72.0,74.0,vfl wolfsburg,midfield,1.8,62.777998279078865
daniel,klein,13/03/2001,0.0,0.0,0.0,fc augsburg,goal,0.5,0.0
alexander,meyer,13/04/1991,0.0,0.0,0.0,borussia dortmund,goal,0.8,0.0
andras,schäfer,13/04/1999,0.0,0.0,23.0,1. fc union berlin,midfield,1.4,10.980650502988235
mark,flekken,13/06/1993,62.0,18.0,237.0,sc freiburg,goal,3.4,131.69327731446486
kingsley,coman,13/06/1996,107.0,146.0,132.0,bayern münchen,midfield,6.5,131.21619119081697
danny,da costa,13/07/1993,44.0,27.0,12.0,1. fsv mainz 05,defense,1.4,23.36944691240942
andré,hahn,13/08/1990,-8.0,65.0,90.0,fc augsburg,midfield,1.6,61.77407364977615
thomas,müller,13/09/1989,197.0,224.0,250.0,bayern münchen,midfield,7.5,230.80526224042026
joel,pohjanpalo,13/09/1994,0.0,42.0,0.0,bayer 04 leverkusen,attack,1.4,13.225370860860144
niklas,klinger,13/10/1995,0.0,0.0,0.0,vfl wolfsburg,goal,0.5,0.0
pavao,pervan,13/11/1987,41.0,15.0,33.0,vfl wolfsburg,goal,0.8,28.99350896087121
andrey,lunev,13/11/1991,0.0,0.0,6.0,bayer 04 leverkusen,goal,0.8,2.86451752251867
florian,müller,13/11/1997,65.0,149.0,165.0,vfb stuttgart,goal,2.4,139.1927004303648
marvin,friedrich,13/12/1995,85.0,171.0,75.0,bor. mönchengladbach,defense,2.5,107.3063254156587
nicolai,rapp,13/12/1996,0.0,0.0,0.0,werder bremen,midfield,1.3,0.0
eren,dinkci,13/12/2001,0.0,0.0,0.0,werder bremen,attack,0.8,0.0
bartol,franjic,14/01/2000,0.0,0.0,0.0,vfl wolfsburg,midfield,1.7,0.0
lucas,hernandez,14/02/1996,20.0,66.0,110.0,bayern münchen,defense,3.0,77.45269282824592
myziane,maolida,14/02/1999,0.0,0.0,4.0,hertha bsc,attack,1.3,1.90967834834578
nick,woltemade,14/02/2002,0.0,6.0,0.0,werder bremen,attack,0.6,1.889338694408592
henning,matriciani,14/03/2000,0.0,0.0,0.0,fc schalke 04,defense,1.0,0.0
anthony,modeste,14/04/1988,10.0,0.0,281.0,1. fc köln,attack,4.0,136.2318102764123
jiri,pavlenka,14/04/1992,124.0,144.0,0.0,werder bremen,goal,2.6,71.09776684930947
niklas,stark,14/04/1995,12.0,80.0,88.0,werder bremen,defense,2.0,69.69639382186719
munas,dabbur,14/05/1992,49.0,37.0,88.0,tsg hoffenheim,attack,1.8,63.840686507554175
stefan,posch,14/05/1997,60.0,30.0,110.0,tsg hoffenheim,defense,1.8,74.42428588227929
kristijan,jakic,14/05/1997,0.0,0.0,82.0,eintracht frankfurt,midfield,1.7,39.148406141088486
mehdi,loune,14/05/2004,0.0,0.0,0.0,eintracht frankfurt,midfield,0.5,0.0
jonas,hofmann,14/07/1992,85.0,119.0,184.0,bor. mönchengladbach,midfield,4.0,142.97079172320673
serge,gnabry,14/07/1995,145.0,126.0,210.0,bayern münchen,midfield,6.0,170.04936729499173
robert,wagner,14/07/2003,0.0,0.0,0.0,sc freiburg,midfield,0.5,0.0
soumaila,coulibaly,14/10/2003,0.0,0.0,0.0,borussia dortmund,defense,0.7,0.0
christopher,nkunku,14/11/1997,132.0,135.0,337.0,rb leipzig,attack,8.5,230.81568469992555
noussair,mazraoui,14/11/1997,0.0,0.0,0.0,bayern münchen,defense,2.8,0.0
lukas,nmecha,14/12/1998,0.0,0.0,97.0,vfl wolfsburg,attack,2.5,46.30969994738516
daniel,caligiuri,15/01/1988,41.0,58.0,80.0,fc augsburg,midfield,1.6,64.9724901971957
marcin,kaminski,15/01/1992,0.0,-3.0,0.0,fc schalke 04,defense,1.6,-0.944669347204296
niklas,dorsch,15/01/1998,0.0,0.0,109.0,fc augsburg,midfield,1.8,52.038734992422505
yannik,keitel,15/02/2000,7.0,16.0,34.0,sc freiburg,midfield,1.2,22.724336892946905
ibrahima,cissé,15/02/2001,0.0,0.0,0.0,fc schalke 04,defense,0.6,0.0
levin,öztunali,15/03/1996,55.0,36.0,26.0,1. fc union berlin,midfield,1.3,35.17192610886589
jonjoe,kenny,15/03/1997,46.0,0.0,0.0,hertha bsc,defense,1.5,9.55376900355766
clinton,mola,15/03/2001,0.0,0.0,0.0,vfb stuttgart,defense,0.7,0.0
tjark,ernst,15/03/2003,0.0,0.0,0.0,hertha bsc,goal,0.6,0.0
edimilson,fernandes,15/04/1996,-15.0,18.0,0.0,1. fsv mainz 05,midfield,1.0,2.5526566255439302
luca,netz,15/05/2003,0.0,6.0,68.0,bor. mönchengladbach,defense,1.6,34.353870616286855
sven,michel,15/07/1990,37.0,0.0,46.0,1. fc union berlin,attack,1.8,29.645854334925023
sebastian,andersson,15/07/1991,94.0,16.0,56.0,1. fc köln,attack,1.5,51.2966526634034
0,0,15/07/2000,0.0,0.0,0.0,bayer 04 leverkusen,attack,2.2,0.0
dominique,heintz,15/08/1993,72.0,31.0,26.0,1. fc union berlin,defense,1.5,37.12821791556482
rafael,santos borré,15/09/1995,0.0,0.0,107.0,eintracht frankfurt,attack,2.4,51.083895818249616
anton,stach,15/11/1998,0.0,0.0,142.0,1. fsv mainz 05,midfield,2.5,67.79358136627519
florian,neuhaus,16/03/1997,114.0,118.0,104.0,bor. mönchengladbach,midfield,2.6,110.48536325874129
marco,friedl,16/03/1998,9.0,34.0,0.0,werder bremen,defense,2.0,12.575468276257794
lukas,ullrich,16/03/2004,0.0,0.0,0.0,hertha bsc,defense,0.5,0.0
ramy,bensebaini,16/04/1995,106.0,53.0,69.0,bor. mönchengladbach,defense,2.3,71.64631681052565
hannes,wolf,16/04/1999,5.0,17.0,0.0,bor. mönchengladbach,midfield,1.5,6.391579453384959
mio,backhaus,16/04/2004,0.0,0.0,0.0,werder bremen,goal,0.5,0.0
ryan,gravenberch,16/05/2002,0.0,0.0,0.0,bayern münchen,midfield,3.5,0.0
kiliann,sildillia,16/05/2002,0.0,0.0,16.0,sc freiburg,defense,0.7,7.63871339338312
ritsu,doan,16/06/1998,0.0,86.0,0.0,sc freiburg,midfield,2.2,27.08052128652315
tiago,tomas,16/06/2002,0.0,0.0,64.0,vfb stuttgart,attack,2.6,30.55485357353248
mats,hummels,16/12/1988,154.0,139.0,115.0,borussia dortmund,defense,3.4,130.65728936760718
amos,pieper,17/01/1998,0.0,71.0,96.0,werder bremen,defense,1.8,68.1894549108004
cedric,brunner,17/02/1994,0.0,38.0,117.0,fc schalke 04,defense,1.7,67.82390342036848
niklas,tauer,17/02/2001,0.0,5.0,20.0,1. fsv mainz 05,defense,1.0,11.12284065373606
